l,TT
4.190000000000000000e+02,1.704387936968220174e+03
4.200000000000000000e+02,1.708977733014638034e+03
4.210000000000000000e+02,1.713837059518744127e+03
4.220000000000000000e+02,1.718958499227783477e+03
4.230000000000000000e+02,1.724349495480649011e+03
4.240000000000000000e+02,1.729995210582228765e+03
4.250000000000000000e+02,1.735888239322286836e+03
4.260000000000000000e+02,1.742028609084500886e+03
4.270000000000000000e+02,1.748394066544604129e+03
4.280000000000000000e+02,1.754999504560650848e+03
4.290000000000000000e+02,1.761815250396740112e+03
4.300000000000000000e+02,1.768841349289386926e+03
4.310000000000000000e+02,1.776077851097067651e+03
4.320000000000000000e+02,1.783509953636312275e+03
4.330000000000000000e+02,1.791145144455083710e+03
4.340000000000000000e+02,1.798961202388273705e+03
4.350000000000000000e+02,1.806965624351792712e+03
4.360000000000000000e+02,1.815151055217808107e+03
4.370000000000000000e+02,1.823510144476583264e+03
4.380000000000000000e+02,1.832035546182468579e+03
4.390000000000000000e+02,1.840727347234980243e+03
4.400000000000000000e+02,1.849570782243998110e+03
4.410000000000000000e+02,1.858558518482000409e+03
4.420000000000000000e+02,1.867675799071090296e+03
4.430000000000000000e+02,1.876922727907945728e+03
4.440000000000000000e+02,1.886284556124405754e+03
4.450000000000000000e+02,1.895753966988016828e+03
4.460000000000000000e+02,1.905323647390687938e+03
4.470000000000000000e+02,1.914986287677682867e+03
4.480000000000000000e+02,1.924749438168268625e+03
4.490000000000000000e+02,1.934598367216862016e+03
4.500000000000000000e+02,1.944525774419867275e+03
4.510000000000000000e+02,1.954531915349191422e+03
4.520000000000000000e+02,1.964617547797490261e+03
4.530000000000000000e+02,1.974761271721786670e+03
4.540000000000000000e+02,1.984963974203857788e+03
4.550000000000000000e+02,1.995211687490620761e+03
4.560000000000000000e+02,2.005497873837492762e+03
4.570000000000000000e+02,2.015815996952965634e+03
4.580000000000000000e+02,2.026152093446618665e+03
4.590000000000000000e+02,2.036492200982236227e+03
4.600000000000000000e+02,2.046852071487410285e+03
4.610000000000000000e+02,2.057202887466436550e+03
4.620000000000000000e+02,2.067567830376750862e+03
4.630000000000000000e+02,2.077918083557324280e+03
4.640000000000000000e+02,2.088276828973594093e+03
4.650000000000000000e+02,2.098615250165680209e+03
4.660000000000000000e+02,2.108949100664277012e+03
4.670000000000000000e+02,2.119264420362253077e+03
4.680000000000000000e+02,2.129547248801670321e+03
4.690000000000000000e+02,2.139798481772516425e+03
4.700000000000000000e+02,2.150004157822388606e+03
4.710000000000000000e+02,2.160150314880218048e+03
4.720000000000000000e+02,2.170237846892525340e+03
4.730000000000000000e+02,2.180252790370577259e+03
4.740000000000000000e+02,2.190196037751712993e+03
4.750000000000000000e+02,2.200061052320742874e+03
4.760000000000000000e+02,2.209848724893955477e+03
4.770000000000000000e+02,2.219545088762703017e+03
4.780000000000000000e+02,2.229158461449146216e+03
4.790000000000000000e+02,2.238689731319174371e+03
4.800000000000000000e+02,2.248117500904445023e+03
4.810000000000000000e+02,2.257457513734618715e+03
4.820000000000000000e+02,2.266680942521605630e+03
4.830000000000000000e+02,2.275796101055023428e+03
4.840000000000000000e+02,2.284789017447568312e+03
4.850000000000000000e+02,2.293645719236671084e+03
4.860000000000000000e+02,2.302374518488557896e+03
4.870000000000000000e+02,2.310961441751299390e+03
4.880000000000000000e+02,2.319399943510425601e+03
4.890000000000000000e+02,2.327698334592702849e+03
4.900000000000000000e+02,2.335842640466141802e+03
4.910000000000000000e+02,2.343833743039124329e+03
4.920000000000000000e+02,2.351672524003276976e+03
4.930000000000000000e+02,2.359359864871295486e+03
4.940000000000000000e+02,2.366889218657943729e+03
4.950000000000000000e+02,2.374254038254034640e+03
4.960000000000000000e+02,2.381455204792010136e+03
4.970000000000000000e+02,2.388478742601308113e+03
4.980000000000000000e+02,2.395325532605545050e+03
4.990000000000000000e+02,2.401989027257381167e+03
5.000000000000000000e+02,2.408462678863279052e+03
5.010000000000000000e+02,2.414739945709784024e+03
5.020000000000000000e+02,2.420821738854818705e+03
5.030000000000000000e+02,2.426701546876185603e+03
5.040000000000000000e+02,2.432380286335481742e+03
5.050000000000000000e+02,2.437866301692598881e+03
5.060000000000000000e+02,2.443145651807090417e+03
5.070000000000000000e+02,2.448226679930110549e+03
5.080000000000000000e+02,2.453102871832002620e+03
5.090000000000000000e+02,2.457767712370457957e+03
5.100000000000000000e+02,2.462236970398275844e+03
5.110000000000000000e+02,2.466489271808349258e+03
5.120000000000000000e+02,2.470540382873845374e+03
5.130000000000000000e+02,2.474376354925136184e+03
5.140000000000000000e+02,2.477998094272867547e+03
5.150000000000000000e+02,2.481406505322371686e+03
5.160000000000000000e+02,2.484602490382946144e+03
5.170000000000000000e+02,2.487579521122333063e+03
5.180000000000000000e+02,2.490331066718275451e+03
5.190000000000000000e+02,2.492865450358059206e+03
5.200000000000000000e+02,2.495168707285244182e+03
5.210000000000000000e+02,2.497249154699288738e+03
5.220000000000000000e+02,2.499100249803793304e+03
5.230000000000000000e+02,2.500715446309078288e+03
5.240000000000000000e+02,2.502110479288809984e+03
5.250000000000000000e+02,2.503271366539102928e+03
5.260000000000000000e+02,2.504213835197506796e+03
5.270000000000000000e+02,2.504931323115494706e+03
5.280000000000000000e+02,2.505424692092011810e+03
5.290000000000000000e+02,2.505694799365092877e+03
5.300000000000000000e+02,2.505749925814235212e+03
5.310000000000000000e+02,2.505576062422645919e+03
5.320000000000000000e+02,2.505188908604143307e+03
5.330000000000000000e+02,2.504581873639155674e+03
5.340000000000000000e+02,2.503748361626428505e+03
5.350000000000000000e+02,2.502704056448437768e+03
5.360000000000000000e+02,2.501434923248418727e+03
5.370000000000000000e+02,2.499956635175553856e+03
5.380000000000000000e+02,2.498262574891019540e+03
5.390000000000000000e+02,2.496360976291720817e+03
5.400000000000000000e+02,2.494237782746194625e+03
5.410000000000000000e+02,2.491916073898295053e+03
5.420000000000000000e+02,2.489389210530933724e+03
5.430000000000000000e+02,2.486650547997024205e+03
5.440000000000000000e+02,2.483715721313697941e+03
5.450000000000000000e+02,2.480585503467494618e+03
5.460000000000000000e+02,2.477253233833410832e+03
5.470000000000000000e+02,2.473727103306079698e+03
5.480000000000000000e+02,2.470007869340296111e+03
5.490000000000000000e+02,2.466096284402517995e+03
5.500000000000000000e+02,2.461993096081156182e+03
5.510000000000000000e+02,2.457713794566003344e+03
5.520000000000000000e+02,2.453243714653826828e+03
5.530000000000000000e+02,2.448597790699948291e+03
5.540000000000000000e+02,2.443783524342559303e+03
5.550000000000000000e+02,2.438793556292317135e+03
5.560000000000000000e+02,2.433627951525515527e+03
5.570000000000000000e+02,2.428309056128423435e+03
5.580000000000000000e+02,2.422822070639429057e+03
5.590000000000000000e+02,2.417174476994356155e+03
5.600000000000000000e+02,2.411366325266874810e+03
5.610000000000000000e+02,2.405412518857704981e+03
5.620000000000000000e+02,2.399298244527595216e+03
5.630000000000000000e+02,2.393038399328889227e+03
5.640000000000000000e+02,2.386640448978017503e+03
5.650000000000000000e+02,2.380089571272102148e+03
5.660000000000000000e+02,2.373400654650420620e+03
5.670000000000000000e+02,2.366581156544802070e+03
5.680000000000000000e+02,2.359623675122384611e+03
5.690000000000000000e+02,2.352535662770478211e+03
5.700000000000000000e+02,2.345317141120141969e+03
5.710000000000000000e+02,2.337975557811171257e+03
5.720000000000000000e+02,2.330518358196300142e+03
5.730000000000000000e+02,2.322945557035252023e+03
5.740000000000000000e+02,2.315257166879163378e+03
5.750000000000000000e+02,2.307475483145455655e+03
5.760000000000000000e+02,2.299585657330129834e+03
5.770000000000000000e+02,2.291609980515012921e+03
5.780000000000000000e+02,2.283541028211116554e+03
5.790000000000000000e+02,2.275386230447072649e+03
5.800000000000000000e+02,2.267153015047482768e+03
5.810000000000000000e+02,2.258848807604319973e+03
5.820000000000000000e+02,2.250473603091360928e+03
5.830000000000000000e+02,2.242027394173198900e+03
