l,Nl
4.410000000000000000e+02,4.139088305389897848e-08
4.420000000000000000e+02,4.142842941897184398e-08
4.430000000000000000e+02,4.146597461323803710e-08
4.440000000000000000e+02,4.150352159246052530e-08
4.450000000000000000e+02,4.154107336514015535e-08
4.460000000000000000e+02,4.157863299298874112e-08
4.470000000000000000e+02,4.161620358616741491e-08
4.480000000000000000e+02,4.165378830376004607e-08
4.490000000000000000e+02,4.169139035076375282e-08
4.500000000000000000e+02,4.172901297684744972e-08
4.510000000000000000e+02,4.176665947679127908e-08
4.520000000000000000e+02,4.180433318586271768e-08
4.530000000000000000e+02,4.184203748036197334e-08
4.540000000000000000e+02,4.187977577483224219e-08
4.550000000000000000e+02,4.191755152093347913e-08
4.560000000000000000e+02,4.195536820636365503e-08
4.570000000000000000e+02,4.199322935374621203e-08
4.580000000000000000e+02,4.203113851956540935e-08
4.590000000000000000e+02,4.206909929138710224e-08
4.600000000000000000e+02,4.210711528680370295e-08
4.610000000000000000e+02,4.214519015234408238e-08
4.620000000000000000e+02,4.218332756243171955e-08
4.630000000000000000e+02,4.222153121498173836e-08
4.640000000000000000e+02,4.225980483036392743e-08
4.650000000000000000e+02,4.229815215032823917e-08
4.660000000000000000e+02,4.233657693532926412e-08
4.670000000000000000e+02,4.237508296345901578e-08
4.680000000000000000e+02,4.241367402778607588e-08
4.690000000000000000e+02,4.245235393529400395e-08
4.700000000000000000e+02,4.249112650586832573e-08
4.710000000000000000e+02,4.252999557124442548e-08
4.720000000000000000e+02,4.256896497237808451e-08
4.730000000000000000e+02,4.260803855677473989e-08
4.740000000000000000e+02,4.264722017910362973e-08
4.750000000000000000e+02,4.268651370015674329e-08
4.760000000000000000e+02,4.272592298263529536e-08
4.770000000000000000e+02,4.276545189010553310e-08
4.780000000000000000e+02,4.280510428760599254e-08
4.790000000000000000e+02,4.284488403741419992e-08
4.800000000000000000e+02,4.288479499805052790e-08
4.810000000000000000e+02,4.292484102164523329e-08
4.820000000000000000e+02,4.296502595611638397e-08
4.830000000000000000e+02,4.300535363938173198e-08
4.840000000000000000e+02,4.304582789993758775e-08
4.850000000000000000e+02,4.308645255423683628e-08
4.860000000000000000e+02,4.312723140568603023e-08
4.870000000000000000e+02,4.316816824359414924e-08
4.880000000000000000e+02,4.320926684216726451e-08
4.890000000000000000e+02,4.325053095632663120e-08
4.900000000000000000e+02,4.329196432380886035e-08
4.910000000000000000e+02,4.333357066099227651e-08
4.920000000000000000e+02,4.337535366187026747e-08
4.930000000000000000e+02,4.341731699852298240e-08
4.940000000000000000e+02,4.345946431854118695e-08
4.950000000000000000e+02,4.350179924239495545e-08
4.960000000000000000e+02,4.354432536238274124e-08
4.970000000000000000e+02,4.358704624306323773e-08
4.980000000000000000e+02,4.362996541866366274e-08
4.990000000000000000e+02,4.367308639196046400e-08
5.000000000000000000e+02,4.371641263320158884e-08
5.010000000000000000e+02,4.375994757744646989e-08
5.020000000000000000e+02,4.380369462498752980e-08
5.030000000000000000e+02,4.384765713868194148e-08
5.040000000000000000e+02,4.389183844435151365e-08
5.050000000000000000e+02,4.393624182658837560e-08
5.060000000000000000e+02,4.398087053063055959e-08
5.070000000000000000e+02,4.402572775966292377e-08
5.080000000000000000e+02,4.407081667335541811e-08
5.090000000000000000e+02,4.411614038663761308e-08
5.100000000000000000e+02,4.416170196880936792e-08
5.110000000000000000e+02,4.420750444243849012e-08
5.120000000000000000e+02,4.425355078244350459e-08
5.130000000000000000e+02,4.429984391511135349e-08
5.140000000000000000e+02,4.434638671685356811e-08
5.150000000000000000e+02,4.439318201319194025e-08
5.160000000000000000e+02,4.444023257792709987e-08
5.170000000000000000e+02,4.448754113194413901e-08
5.180000000000000000e+02,4.453511034249469188e-08
5.190000000000000000e+02,4.458294282196837972e-08
5.200000000000000000e+02,4.463104112713883235e-08
5.210000000000000000e+02,4.467940775819300827e-08
5.220000000000000000e+02,4.472804515764691971e-08
5.230000000000000000e+02,4.477695570948238691e-08
5.240000000000000000e+02,4.482614173831629739e-08
5.250000000000000000e+02,4.487560550878985539e-08
5.260000000000000000e+02,4.492534922484531508e-08
5.270000000000000000e+02,4.497537502907529379e-08
5.280000000000000000e+02,4.502568500195988650e-08
5.290000000000000000e+02,4.507628116102947298e-08
5.300000000000000000e+02,4.512716546034967555e-08
5.310000000000000000e+02,4.517833978993144682e-08
5.320000000000000000e+02,4.522980597488614782e-08
5.330000000000000000e+02,4.528156577508018348e-08
5.340000000000000000e+02,4.533362088453620330e-08
5.350000000000000000e+02,4.538597293075765215e-08
5.360000000000000000e+02,4.543862347394294865e-08
5.370000000000000000e+02,4.549157400655118229e-08
5.380000000000000000e+02,4.554482595290195652e-08
5.390000000000000000e+02,4.559838066855528786e-08
5.400000000000000000e+02,4.565223944015303866e-08
5.410000000000000000e+02,4.570640348489851464e-08
5.420000000000000000e+02,4.576087394992852230e-08
5.430000000000000000e+02,4.581565191203175029e-08
5.440000000000000000e+02,4.587073837726170188e-08
5.450000000000000000e+02,4.592613428047003932e-08
5.460000000000000000e+02,4.598184048544282379e-08
5.470000000000000000e+02,4.603785778425200584e-08
5.480000000000000000e+02,4.609418689734937322e-08
5.490000000000000000e+02,4.615082847442946570e-08
5.500000000000000000e+02,4.620778309110879566e-08
5.510000000000000000e+02,4.626505125254719184e-08
5.520000000000000000e+02,4.632263339007943387e-08
5.530000000000000000e+02,4.638052986328628093e-08
5.540000000000000000e+02,4.643874095929339976e-08
5.550000000000000000e+02,4.649726689198689967e-08
5.560000000000000000e+02,4.655610780266751329e-08
5.570000000000000000e+02,4.661526375923027160e-08
5.580000000000000000e+02,4.667473475678123001e-08
5.590000000000000000e+02,4.673452071678185914e-08
5.600000000000000000e+02,4.679462148762822346e-08
5.610000000000000000e+02,4.685503684376077617e-08
5.620000000000000000e+02,4.691576648759865155e-08
5.630000000000000000e+02,4.697681004723536475e-08
5.640000000000000000e+02,4.703816707833441200e-08
5.650000000000000000e+02,4.709983706318226794e-08
5.660000000000000000e+02,4.716181941117044656e-08
5.670000000000000000e+02,4.722411345781580840e-08
5.680000000000000000e+02,4.728671846797694975e-08
